Agwam, Agawam
Baco 1, Baco noir
Baco 22A, Baco blanc
Bastardo, Trousseau
Black Spanish, Lenoir
Burdin 7705, Florental
Cabernet, Cabernet Sauvignon
Cayuga, Cayuga White
Chancellor noir, Chancellor
Chasselas, Chasselas doré
Chelois noir, Chelois
Chevrier, Sémillon
Couderc 299-35, Muscat du Moulin
Couderc 299-35, Muscat du Moulin
Foch, Maréchal Foch
Franken Riesling, Sylvaner
Grey Riesling, Trousseau gris
Gutedel, Chasselas doré
Ives Seedling, Ives
Jacquez, Lenoir
Couderc 299-35, Muscat du Moulin
Johannisberg Riesling, Riesling
Landot 244, Landal
Landot 4511, Landot noir
Millot, Leon Millot
Moore's Diamond, Diamond
Muscat Frontignan, Muscat blanc
Muscat Pantelleria, Muscat of Alexandria
Napa Gamay, Valdiquié
Norton Seedling, Norton
Pfeffer Cabernet, Cabernet Pfeffer
Pineau de la Loire, Chenin blanc
Pinot Chardonnay, Chardonnay
Pinot Saint George, Négrette
Ravat 262, Ravat noir
Ruländer, Pinot gris
Sauvignon vert, Muscadelle
Seibel 1000, Rosette
Seibel 10878, Chelois
Seibel 128, Salvador
Seibel 13053, Cascade
Seibel 14596, Bellandais
Seibel 4986, Rayon d'Or
Seibel 5279, Aurore
Seibel 5898, Rougeon
Seibel 7053, Chancellor
Seibel 8357, Colobel
Seibel 9110, Verdelet
Seibel 9549, De Chaunac
Seyve-Villard 12-309, Roucaneuf
Seyve-Villard 12-375, Villard blanc
Seyve-Villard 18-283, Garronet
Seyve-Villard 18-315, Villard noir
Seyve-Villard 23-410, Valerien
Seyve-Villard 5-276, Seyval
Sweetwater, Chasselas doré
Verdelet blanc, Verdelet
Vidal 256, Vidal blanc
Virginia Seedling, Norton
Wälschriesling, Welsch Rizling
Welschriesling, Welsch Rizling